"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
2.514,12.392,3.047,5.433,3.019,3.343,37.18,17.036,5.009,13.639,11.805,3.611,1.665,19.75,3.898,4.566,2.895,3.17,3.929,6.802,0.519,2.409,3.109,6.89,3.859,4.604,3.049,4.742,2.588,4.038,2.085,2.953,0.194,2.691,2.549,0.437,7.344,2.162,2.459,7.032,4.112,4.032,0.911,2.212,1.164,4.17,1.162,0.924,0.591,1.529,0.308,0.509,0.279,0.412,1.132,0.369,0.275,0.924,4.87,0.404,1.331,0.326,0.003,0.447
2.561,13.469,4.336,5.533,3.488,3.347,37.18,18.601,5.075,13.736,11.832,4.532,1.821,19.871,3.898,5.173,3.366,3.433,3.974,7.152,0.55,2.553,3.112,7.052,3.874,4.604,3.906,4.767,2.68,4.038,2.377,3.138,0.266,2.7,2.654,0.629,8.23,2.162,2.703,7.59,4.15,4.228,1.462,2.726,1.357,4.17,1.205,0.971,0.646,1.582,0.314,0.541,0.398,0.437,1.132,0.472,0.356,1.022,4.955,0.525,1.36,0.372,0.051,0.483
2.613,15.511,4.917,5.601,3.744,3.394,37.18,19.287,5.103,13.765,11.894,4.553,1.975,19.899,3.918,5.405,3.658,4.103,4.049,7.453,0.6,2.61,3.119,7.464,3.907,4.604,4.541,4.799,2.713,4.077,2.413,3.264,0.338,2.751,2.727,0.807,8.427,2.165,2.809,7.814,4.295,4.243,1.801,3.053,1.504,4.181,1.258,0.997,0.672,1.61,0.325,0.565,0.449,0.449,1.158,0.494,0.395,1.043,5.118,0.585,1.383,0.402,0.069,0.523
2.731,16.174,4.923,5.634,3.814,3.417,37.218,19.762,5.108,13.791,11.91,4.557,2.141,19.961,3.953,5.591,4.341,4.212,4.075,7.615,0.706,2.703,3.146,7.839,3.974,4.62,4.998,4.855,2.763,4.153,2.462,3.33,0.369,2.878,2.821,0.893,8.525,2.171,2.857,8.081,4.313,4.274,1.964,3.282,1.618,4.324,1.268,1.005,0.68,1.621,0.352,0.59,0.461,0.462,1.185,0.519,0.438,1.058,5.289,0.614,1.392,0.447,0.078,0.55
2.747,16.476,4.934,5.669,3.91,3.433,37.267,20.147,5.121,13.808,11.915,4.572,2.65,20.056,3.992,5.69,5,4.31,4.084,7.745,0.803,2.98,3.186,8.163,4.01,4.636,5.159,4.915,2.839,4.228,2.525,3.376,0.419,2.885,2.848,0.987,8.646,2.177,2.986,8.271,4.322,4.335,2.321,3.493,1.692,4.468,1.269,1.01,0.7,1.629,0.376,0.612,0.472,0.471,1.19,0.541,0.455,1.063,5.31,0.653,1.406,0.474,0.126,0.562
2.833,16.81,4.947,5.707,3.968,3.441,37.316,20.228,5.15,13.818,11.916,4.63,2.759,20.173,4.073,5.723,5.243,4.372,4.093,8.084,0.836,3.011,3.229,8.223,4.044,4.652,5.303,4.921,2.882,4.256,2.731,3.405,0.442,2.953,2.9,1.057,8.815,2.195,3.096,8.501,4.391,4.358,2.551,3.498,1.734,4.595,1.274,1.017,0.712,1.639,0.4,0.621,0.485,0.476,1.191,0.554,0.471,1.064,5.452,0.659,1.413,0.533,0.133,0.564
2.964,17.169,4.98,5.722,4.007,3.453,37.346,20.611,5.165,13.838,11.934,4.69,2.903,20.241,4.154,5.73,5.889,4.398,4.139,8.195,0.859,3.116,3.244,8.263,4.102,4.738,5.541,4.964,2.944,4.283,2.896,3.439,0.474,3.065,2.927,1.073,9.053,2.215,3.146,8.788,4.409,4.397,2.613,3.517,1.798,4.617,1.275,1.022,0.719,1.648,0.446,0.636,0.501,0.48,1.196,0.562,0.5,1.076,5.513,0.663,1.442,0.621,0.142,0.566
3.025,17.262,4.984,5.754,4.031,3.456,37.36,20.779,5.18,13.862,11.958,4.707,3.05,20.282,4.195,5.733,6.097,4.442,4.179,8.295,0.88,3.289,3.249,8.282,4.122,4.828,5.73,5.012,3.018,4.298,3.023,3.498,0.505,3.199,2.963,1.107,9.315,2.269,3.216,8.913,4.417,4.439,2.645,3.615,1.832,4.64,1.277,1.025,0.726,1.679,0.493,0.663,0.515,0.489,1.203,0.566,0.529,1.096,5.526,0.672,1.46,0.684,0.148,0.573
3.075,17.332,4.998,5.774,4.134,3.468,37.374,20.878,5.203,13.879,11.965,4.719,3.164,20.289,4.215,5.741,6.414,4.494,4.208,8.391,0.915,3.343,3.25,8.302,4.134,4.918,5.903,5.026,3.118,4.299,3.074,3.562,0.522,3.21,2.977,1.145,9.584,2.452,3.286,9.261,4.443,4.446,2.793,3.711,1.844,4.675,1.282,1.039,0.728,1.705,0.538,0.667,0.522,0.496,1.215,0.576,0.557,1.114,5.536,0.689,1.475,0.799,0.187,0.59
3.118,17.481,5.015,5.845,4.37,3.474,37.48,20.983,5.211,13.909,11.991,4.732,3.243,20.306,4.233,5.772,6.575,4.526,4.21,8.46,0.929,3.442,3.251,8.325,4.147,4.934,5.965,5.034,3.176,4.301,3.121,3.619,0.545,3.242,2.991,1.162,9.696,2.636,3.318,9.524,4.449,4.482,2.848,3.812,1.91,4.762,1.285,1.046,0.73,1.724,0.564,0.677,0.533,0.499,1.228,0.593,0.588,1.135,5.655,0.692,1.487,0.838,0.235,0.595
